horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
30,sd,68,XGBoost,19321,4018,0.045764949646268205,0.024511326104402542,0.8916251063346863,0.8916251063346863,0.891411365367221,0.8916251063346863
30,sd,69,XGBoost,19321,4018,0.042519121562331536,0.02291245386004448,0.8865005373954773,0.8865005373954773,0.8884323641578559,0.8865005373954773
30,sd,70,XGBoost,19321,4018,0.039697060168064235,0.020986489951610565,0.8796906471252441,0.8796906471252441,0.8844012995763502,0.8796906471252441
30,sd,71,XGBoost,19321,4018,0.03741632429340992,0.019561966881155968,0.8744057416915894,0.8744057416915894,0.8806876908018921,0.8744057416915894
30,sd,72,XGBoost,19321,4018,0.03723463920276616,0.01909652352333069,0.8736294507980347,0.8736294507980347,0.8814956842581497,0.8736294507980347
30,sd,73,XGBoost,19321,4018,0.03565881553953931,0.01813342608511448,0.8579235672950745,0.8579235672950745,0.8744183102136204,0.8579235672950745
30,sd,74,XGBoost,19321,4018,0.027587578358191076,0.014648272655904293,0.8537049293518066,0.8537049293518066,0.8657375797902005,0.8537049293518066
30,sd,75,XGBoost,19321,4018,0.03290105957161905,0.01740686409175396,0.8795318603515625,0.8795318603515625,0.8863420091717086,0.8795318603515625
30,sd,76,XGBoost,19321,4018,0.031110521198297218,0.016120607033371925,0.8602783679962158,0.8602783679962158,0.8783199405815927,0.8602783679962158
30,sd,77,XGBoost,19321,4018,0.03261888365418483,0.016219783574342728,0.8523116707801819,0.8523116707801819,0.8801100272101959,0.8523116707801819
30,sd,78,XGBoost,19321,4018,0.03142993133221818,0.015626797452569008,0.8580964803695679,0.8580964803695679,0.8727611916537554,0.8580964803695679
30,sd,79,XGBoost,19321,4018,0.02599539047553847,0.013283341191709042,0.8615174889564514,0.8615174889564514,0.8677468300601181,0.8615174889564514
30,sd,80,XGBoost,19321,4018,0.02774191371113359,0.013549366034567356,0.8497963547706604,0.8497963547706604,0.879809215975348,0.8497963547706604
30,sd,81,XGBoost,19321,4018,0.024542227742445744,0.012419811449944973,0.8576284646987915,0.8576284646987915,0.8723832152279284,0.8576284646987915
30,smlt_mm,0,XGBoost,19321,4018,1.2529938607792346,0.5290335416793823,0.19364649057388306,0.19364649057388306,0.37521009884476986,0.19364649057388306
30,smlt_mm,1,XGBoost,19321,4018,1.761411382078384,0.7243526577949524,0.44497203826904297,0.44497203826904297,0.5379285950541866,0.44497203826904297
30,smlt_mm,2,XGBoost,19321,4018,1.5545673419774384,0.6650831699371338,0.49152159690856934,0.49152159690856934,0.549070812006327,0.49152159690856934
30,smlt_mm,3,XGBoost,19321,4018,1.5365504953793299,0.6813158988952637,0.5239909887313843,0.5239909887313843,0.5776719689929104,0.5239909887313843
30,smlt_mm,4,XGBoost,19321,4018,1.6918694476405374,0.743036687374115,0.5496572852134705,0.5496572852134705,0.6264303304864023,0.5496572852134705
30,smlt_mm,5,XGBoost,19321,4018,1.9939224766475374,0.8345855474472046,0.5650327801704407,0.5650327801704407,0.6391787254635346,0.5650327801704407
30,smlt_mm,6,XGBoost,19321,4018,2.29260053391326,0.9738354086875916,0.6249023675918579,0.6249023675918579,0.6978345403214192,0.6249023675918579
30,smlt_mm,7,XGBoost,19321,4018,2.232859704577775,0.9553124904632568,0.6531574130058289,0.6531574130058289,0.7028699107656652,0.6531574130058289
30,smlt_mm,8,XGBoost,19321,4018,2.257380566315569,0.9573174118995667,0.6684340238571167,0.6684340238571167,0.704304046666167,0.6684340238571167
30,smlt_mm,9,XGBoost,19321,4018,2.2278762956791107,0.9485088586807251,0.6858518123626709,0.6858518123626709,0.7274264950655522,0.6858518123626709
30,smlt_mm,10,XGBoost,19321,4018,2.412720736352124,0.9793616533279419,0.6476393938064575,0.6476393938064575,0.7254235839294746,0.6476393938064575
30,smlt_mm,11,XGBoost,19321,4018,2.2996428544108793,0.9685666561126709,0.6238659620285034,0.6238659620285034,0.6664002433880387,0.6238659620285034
