year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2097,36.95483,0.13725379,964.91534,9.0862258245611,0.58752793,canesm5_canoe,SSP2-4.5
2098,35.89121,0.10721642,782.70166,8.70713632624726,1.5000452,canesm5_canoe,SSP2-4.5
2099,42.066788,0.11708856,690.04443,8.561257833835414,0.7007566,canesm5_canoe,SSP2-4.5
2015,51.13594,0.15578668,970.39526,4.813470278500747,2.6393013,canesm5_canoe,SSP5-8.5
2016,48.81354,0.17156853,874.4186,4.70102537955695,7.214647,canesm5_canoe,SSP5-8.5
2017,44.09643,0.15356953,547.698,5.454583942864339,1.6908594,canesm5_canoe,SSP5-8.5
2018,45.612213,0.1823322,798.17566,5.552561795708173,5.9661374,canesm5_canoe,SSP5-8.5
2019,51.612778,0.17006117,868.96826,5.832965639145386,4.374212,canesm5_canoe,SSP5-8.5
2020,45.628178,0.16377582,716.42236,6.3045101348639685,1.5317078,canesm5_canoe,SSP5-8.5
2021,49.162037,0.15502203,999.30914,5.637439797513767,3.3600004,canesm5_canoe,SSP5-8.5
