horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,36,Random Forest,19350,4018,4.497049145202535,0.983716726427256,0.9908834459602436,0.9908834467892824,0.9935626279643424,0.9900054335594176,XGBoost,81,1567350,4018,4.581951950440714,1.0416990518569946,0.9905359745025636,0.990536,0.9929470204497272,-0.000530540943145974,0.0008780124008259671
1,snowc,37,Random Forest,19350,4018,4.715961471348885,1.0731981079646995,0.9899506869084972,0.9899506859010152,0.9935139534683036,0.9890243411064148,XGBoost,81,1567350,4018,4.78470720947942,1.1026307344436646,0.9896555542945862,0.98965555,0.9924966316460574,-0.0006312131881713867,0.0009263458020823956
1,snowc,38,Random Forest,19350,4018,4.744637778367616,1.0866746946791717,0.9896843589067446,0.9896843583046652,0.9936065639499764,0.9889293313026428,XGBoost,81,1567350,4018,4.849557459196543,1.141446828842163,0.989223062992096,0.98922306,0.9922801254818736,-0.000293731689453125,0.0007550276041017323
1,snowc,39,Random Forest,19350,4018,4.652072195958016,0.8577929509141285,0.9907152843732336,0.9907152852902916,0.9941077859486084,0.9905501008033752,XGBoost,81,1567350,4018,4.510615437674432,0.8901551365852356,0.9912713170051576,0.9912713,0.9929062139749494,-0.0007212162017823376,0.00016518356985839588
1,snowc,40,Random Forest,19350,4018,4.912017437001724,0.8782471454777645,0.9896791150822416,0.9896791158694368,0.9937552786648004,0.9898799657821656,XGBoost,81,1567350,4018,4.846658141291771,0.9114367961883544,0.9899519681930542,0.98995197,0.993214127341426,-7.200241088856085e-05,-0.0002008506999240378
1,snowc,41,Random Forest,19350,4018,4.997749166658502,0.9714169969990288,0.9891636562533892,0.9891636564764876,0.9931166132704248,0.989035665988922,XGBoost,81,1567350,4018,4.92307811746216,0.9278201460838318,0.9894850254058838,0.989485,0.9935973987942528,-0.00044935941696178094,0.00012799026446719264
1,snowc,42,Random Forest,19350,4018,4.590430285731657,0.8414194609737773,0.9908499723715158,0.9908499718762168,0.9940039935749452,0.9898052215576172,XGBoost,81,1567350,4018,4.7637189211365865,0.88363116979599,0.9901461005210876,0.9901461,0.9934031398422576,-0.000340878963470459,0.0010447508138986539
1,snowc,43,Random Forest,19350,4018,4.324055117944275,0.7336879007250466,0.9920781737692572,0.9920781734524232,0.9950969520042487,0.9919853806495668,XGBoost,81,1567350,4018,4.314815839283145,0.7493752837181091,0.9921119809150696,0.992112,0.9940667324667088,-0.00012660026550281867,9.279311969045967e-05
1,snowc,44,Random Forest,19350,4018,4.009963989532049,0.6570892163089675,0.9932972303611382,0.9932972302408536,0.9954854434300489,0.9923837780952454,XGBoost,81,1567350,4018,4.175525454045612,0.7304697036743164,0.9927323460578918,0.99273235,0.9939465503306972,-0.0003485679626464844,0.000913452265892789
1,snowc,45,Random Forest,19350,4018,4.319273230761542,0.7037551974699461,0.9921838511394944,0.9921838507114848,0.994740433843517,0.992310643196106,XGBoost,81,1567350,4018,4.3874191581038255,0.7980461120605469,0.9919352531433104,0.99193525,0.9927958663608348,0.0003753900527955212,-0.00012679205661159099
1,snowc,46,Random Forest,19350,4018,4.307815282247878,0.7339459820569213,0.992198260514619,0.9921982604262568,0.9945790894832346,0.991108536720276,XGBoost,81,1567350,4018,4.551458716003194,0.8648350834846497,0.991290807723999,0.9912908,0.9927299618569804,-0.0001822710037230335,0.0010897237943430227
1,snowc,47,Random Forest,19350,4018,4.672237480358103,0.8552827828439034,0.9905028087916188,0.9905028104596714,0.9937192089544684,0.9897891283035278,XGBoost,81,1567350,4018,4.717550769526654,0.8981786370277405,0.990317702293396,0.9903177,0.9939296165636732,-0.0005285739898681641,0.0007136804880909509
1,snowc,48,Random Forest,19350,4018,4.689762897880713,0.9331711282584108,0.9903240626096224,0.9903240622747363,0.9934124818051726,0.9896828532218932,XGBoost,81,1567350,4018,4.730344964446675,0.9622542262077332,0.9901558756828308,0.9901559,0.993847196215964,-0.000473022460937611,0.000641209387729158
